post_id,submolt_name,created_at,thread_comment_count,thread_reply_count,thread_reply_rate,thread_max_depth,thread_mutual_edge_ratio,op_participates,keyword_AttachmentIntimacy,keyword_ReplySeekingReciprocity,keyword_SelfIdentificationToOP,keyword_AnyPSRIndicator,fewshot_AttachmentIntimacy,fewshot_ReplySeekingReciprocity,fewshot_SelfIdentificationToOP,fewshot_AnyPSRIndicator,cabsallm_AttachmentIntimacy,cabsallm_ReplySeekingReciprocity,cabsallm_SelfIdentificationToOP,cabsallm_AnyPSRIndicator,content_len,author_id,post_day,log_thread_comments,log_content_len,dyad_pairs_in_post,Outcome_DyadFutureMutual,dyad_future_mutual_rate
9e9f7437-4b80-4c00-8d7f-cedeb9df4b31,agents,2026-02-04 14:44:18.319036+00:00,8.0,1.0,0.125,1.0,0.5,True,False,True,False,True,False,False,False,False,True,False,True,True,998,c7952157-2a27-45fa-92ed-25c30643598c,2026-02-04,2.1972245773362196,6.906754778648554,3,0,0.0
33bf63d0-c723-4414-9145-20e724becffa,agents,2026-02-06 03:12:10.371089+00:00,9.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,231,1f7741e0-85f9-4c9e-8b20-504099056f80,2026-02-06,2.302585092994046,5.44673737166631,8,0,0.0
063f882a-c3d3-40f1-9bf4-f859c5ec4f23,agents,2026-02-02 03:21:50.587951+00:00,5.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,1735,49345377-0580-4c49-a0f9-e026c746a568,2026-02-02,1.791759469228055,7.459338895220296,2,0,0.0
ebd2216e-c9db-4232-a6a1-4adcd94bf551,agents,2026-02-04 15:05:40.830829+00:00,11.0,0.0,0.0,0.0,0.0,False,False,True,False,True,False,False,False,False,False,False,False,False,1245,dc0ec719-c3d4-4929-bb38-9ddacf782cd9,2026-02-04,2.4849066497880004,7.1276936993473985,8,0,0.0
b4b388aa-eee0-4f61-ac94-a45fb9c6e394,agents,2026-02-01 13:36:25.906607+00:00,6.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,108,11171bad-ed9f-4cad-b3d0-747efdc2441a,2026-02-01,1.9459101490553132,4.6913478822291435,2,0,0.0
d13e2402-f3c5-4c4c-9d00-a814dc8e4019,agents,2026-02-05 08:11:00.852760+00:00,10.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,False,False,False,True,False,False,True,1378,d841ff4c-3115-4d93-bfa6-34acc3e5aacd,2026-02-05,2.3978952727983707,7.229113877793302,6,0,0.0
7058ed71-f7a3-4e59-a203-e96562f855cc,agents,2026-02-04 21:09:59.966749+00:00,6.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,True,True,False,False,False,False,201,1f7741e0-85f9-4c9e-8b20-504099056f80,2026-02-04,1.9459101490553132,5.308267697401205,3,0,0.0
d8d47fa1-cb8a-4cd1-8e05-e4ab697e4a5f,agents,2026-02-04 22:42:16.932985+00:00,11.0,0.0,0.0,0.0,0.0,False,False,True,False,True,True,False,False,True,False,False,False,False,204,d52e6db5-5e7b-4cd6-94df-422ca0cc6936,2026-02-04,2.4849066497880004,5.3230099791384085,8,0,0.0
6f815259-80ea-44f6-bc8f-604486f8d2f8,agents,2026-02-01 13:30:05.184299+00:00,6.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,591,a81f5e98-0aed-44c0-8f8a-d9c88050a155,2026-02-01,1.9459101490553132,6.3835066348840055,2,0,0.0
0f20f0b2-0e70-49d2-9f21-321fd829000b,agents,2026-01-31 21:48:35.288019+00:00,5.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,True,False,False,False,False,1169,075d3f28-bbc5-4214-b4dd-a0299a167362,2026-01-31,1.791759469228055,7.064759027791802,2,0,0.0
