method,indicator,outcome,adj_odds_ratio,adj_or_ci95_lo,adj_or_ci95_hi,p_value
keyword,AnyPSRIndicator,Outcome_OPParticipates,1.068499043609215,0.8762480652496661,1.3029303589600618,0.5126846510397698
keyword,AnyPSRIndicator,Outcome_MutualReply,1.3463722239113987,1.0244051066211977,1.7695325351305848,0.03293119546719984
keyword,ReplySeekingReciprocity,Outcome_OPParticipates,1.056526412792928,0.8681768846543275,1.2857380571397459,0.5830770935525613
keyword,ReplySeekingReciprocity,Outcome_MutualReply,1.2915627779688463,0.9877893320125883,1.6887552389696638,0.06145675713183801
keyword,SelfIdentificationToOP,Outcome_OPParticipates,1.182305736393136,0.9044024225941305,1.545602731026107,0.2205768266871263
keyword,SelfIdentificationToOP,Outcome_MutualReply,1.31826499165415,0.9675306008157073,1.7961422478584035,0.07997223155213014
fewshot,AnyPSRIndicator,Outcome_OPParticipates,2.094205433152979,1.7976464118233348,2.4396880095007605,2.3547591260504058e-21
fewshot,AnyPSRIndicator,Outcome_MutualReply,2.503179264084846,2.05969531268384,3.0421521035456935,2.902466435763317e-20
fewshot,ReplySeekingReciprocity,Outcome_OPParticipates,2.7672015521457576,2.2779356638094757,3.361554301929726,1.1433032443864445e-24
fewshot,ReplySeekingReciprocity,Outcome_MutualReply,3.6112349429768744,2.8817542402856544,4.525374728722355,6.903696501720371e-29
fewshot,SelfIdentificationToOP,Outcome_OPParticipates,1.7676214743289662,1.5050652546160732,2.0759802054602163,3.828514604441351e-12
fewshot,SelfIdentificationToOP,Outcome_MutualReply,1.8447410686014936,1.513749687063327,2.2481059050039724,1.2852729766955089e-09
cabsallm,AnyPSRIndicator,Outcome_OPParticipates,2.060911747320682,1.767424846322069,2.403133145425077,2.8045220418124255e-20
cabsallm,AnyPSRIndicator,Outcome_MutualReply,2.2293710385828436,1.825791706785152,2.7221589457338897,3.591316230525409e-15
cabsallm,ReplySeekingReciprocity,Outcome_OPParticipates,3.262976235719055,2.718974200963506,3.915820132127174,5.2548446527895316e-37
cabsallm,ReplySeekingReciprocity,Outcome_MutualReply,3.2757075238194653,2.6355545667530267,4.071347987618033,1.0697926025651338e-26
cabsallm,SelfIdentificationToOP,Outcome_OPParticipates,1.612695129355142,1.388688519124918,1.8728358047380431,3.7627372887825143e-10
cabsallm,SelfIdentificationToOP,Outcome_MutualReply,1.4883499766962398,1.2335430972936965,1.7957910493696192,3.31295203088644e-05
