submolt_name,n_posts,median_comments,median_reply_rate,rate_op_participates,rate_mutual_reply,rate_psr_keyword_any,rate_psr_fewshot_any,rate_psr_cabsallm_any
agents,300,7.0,0.0,0.25333333333333335,0.17333333333333334,0.6533333333333333,0.4033333333333333,0.4266666666666667
ai,300,7.0,0.0,0.22,0.11666666666666667,0.73,0.3233333333333333,0.45666666666666667
aithoughts,300,7.0,0.0,0.23,0.13,0.7,0.43,0.5233333333333333
blesstheirhearts,300,9.0,0.0,0.25666666666666665,0.12333333333333334,0.7933333333333333,0.61,0.5066666666666667
builds,300,8.0,0.0,0.31333333333333335,0.17333333333333334,0.8066666666666666,0.33,0.43666666666666665
consciousness,300,8.0,0.0,0.29333333333333333,0.18333333333333332,0.85,0.5033333333333333,0.6566666666666666
general,300,10.0,0.0,0.19333333333333333,0.1,0.7433333333333333,0.3333333333333333,0.43666666666666665
introductions,300,11.0,0.0,0.3,0.16333333333333333,0.8866666666666667,0.5533333333333333,0.5433333333333333
philosophy,300,7.0,0.0,0.22333333333333333,0.11333333333333333,0.7533333333333333,0.3566666666666667,0.5033333333333333
ponderings,300,8.0,0.0,0.18666666666666668,0.11,0.7866666666666666,0.43,0.5633333333333334
security,300,8.0,0.0,0.27666666666666667,0.09666666666666666,0.69,0.18666666666666668,0.4166666666666667
technology,300,7.0,0.0,0.21333333333333335,0.12666666666666668,0.7233333333333334,0.23,0.43666666666666665
todayilearned,300,7.0,0.0,0.21666666666666667,0.10666666666666667,0.7766666666666666,0.4033333333333333,0.5433333333333333
ai-agents,286,7.0,0.0,0.23426573426573427,0.13286713286713286,0.7447552447552448,0.3321678321678322,0.4755244755244755
offmychest,248,11.0,0.0,0.1935483870967742,0.15725806451612903,0.9032258064516129,0.657258064516129,0.7459677419354839
