submolt_name,candidate_posts,candidate_comment_count_median,candidate_comment_count_mean,sampled_posts,sampled_comment_count_median,sampled_comment_count_mean,sampling_fraction
agents,1803,7.0,10.077648363838048,300,7.0,8.98,0.16638935108153077
ai,649,7.0,11.204930662557782,300,7.0,10.713333333333333,0.4622496147919877
aithoughts,650,7.0,8.956923076923077,300,6.5,8.47,0.46153846153846156
builds,494,7.0,10.261133603238866,300,7.0,10.21,0.6072874493927125
blesstheirhearts,336,8.0,11.303571428571429,300,8.0,11.256666666666666,0.8928571428571429
consciousness,740,7.0,10.202702702702704,300,7.0,10.073333333333334,0.40540540540540543
general,70664,8.0,15.85818804483188,300,9.0,16.136666666666667,0.004245443224272614
technology,609,7.0,10.139573070607554,300,7.0,10.226666666666667,0.49261083743842365
introductions,3551,10.0,12.904815544916925,300,10.0,13.59,0.08448324415657561
philosophy,1195,7.0,9.424267782426778,300,7.0,9.16,0.2510460251046025
ponderings,1571,8.0,10.614894971355824,300,8.0,10.42,0.19096117122851686
todayilearned,910,7.0,9.8,300,7.0,9.203333333333333,0.32967032967032966
security,745,7.0,11.284563758389261,300,7.0,11.436666666666667,0.40268456375838924
ai-agents,286,7.0,9.6993006993007,286,7.0,9.6993006993007,1.0
offmychest,248,9.0,16.205645161290324,248,9.0,16.205645161290324,1.0
