method,outcome,model,or_x,ci95_lo,ci95_hi,p_value,nobs,aic
keyword,OPParticipates,baseline,1.0656250441059676,0.8739677884951611,1.299311884916377,0.5297893239334873,4434.0,4460.840763588283
keyword,OPParticipates,topic_fe,1.0851290315306856,0.8850838963896296,1.3303880229590856,0.43196737362393267,4434.0,4345.859142470874
keyword,MutualReply,baseline,1.352355344592907,1.029037825815186,1.7772572904209862,0.030361730549221963,4434.0,3083.028329467926
keyword,MutualReply,topic_fe,1.31803602971975,1.0011791643027115,1.7351729216711353,0.04902198995004557,4434.0,3079.1380543775285
fewshot,OPParticipates,baseline,2.103972970409978,1.8057365058162524,2.451466338503674,1.462245536963149e-21,4434.0,4369.1952548471145
fewshot,OPParticipates,topic_fe,2.124045387331159,1.814254902371123,2.48673370073104,7.54035677700388e-21,4434.0,4257.540506732879
fewshot,MutualReply,baseline,2.5149325955017194,2.069158835372345,3.0567426008061163,1.9540447123000358e-20,4434.0,2999.2658334824546
fewshot,MutualReply,topic_fe,2.5370343292112185,2.0810483758340768,3.0929329958591065,3.2567159856169746e-20,4434.0,2995.4731659636655
cabsallm,OPParticipates,baseline,2.0684541477376475,1.7736931833824208,2.4121999235143945,1.932789236913164e-20,4434.0,4372.500207226834
cabsallm,OPParticipates,topic_fe,2.0876526092095067,1.7803458898440496,2.44800375118176,1.3051476631731908e-19,4434.0,4261.722413892534
cabsallm,MutualReply,baseline,2.2428217530992005,1.8365916933247828,2.738904588569007,2.3221751688146204e-15,4434.0,3021.4803817171846
cabsallm,MutualReply,topic_fe,2.3071856984814283,1.8815772461081188,2.8290658054499875,9.307870196971396e-16,4434.0,3014.8510089795664
