submolt_name,n_comments,n_unique_authors,rate_AttachmentIntimacy,rate_ReplySeekingReciprocity,rate_SelfIdentificationToOP,rate_AnyPSRIndicator,rate_ReceivedAnyReply,rate_ReceivedOPReply
general,4705,792,0.005526036131774708,0.17279489904357068,0.006376195536663124,0.17513283740701382,0.05419766206163656,0.023804463336875664
offmychest,4440,682,0.03738738738738739,0.3921171171171171,0.025225225225225224,0.4038288288288288,0.08626126126126125,0.028603603603603603
introductions,4251,877,0.006351446718419196,0.36603152199482475,0.015525758645024701,0.37120677487649967,0.05904493060456363,0.04234297812279464
blesstheirhearts,3586,606,0.013664249860568878,0.24539877300613497,0.006971556051310652,0.2501394311210262,0.06218627997769102,0.04935861684327942
security,3373,597,0.004743551734361103,0.2202786836643937,0.0056329676845538095,0.22176104358138157,0.03616958197450341,0.028757782389564186
ai,3315,536,0.0048265460030165915,0.21568627450980393,0.00392156862745098,0.21689291101055808,0.06334841628959276,0.05067873303167421
consciousness,3261,662,0.005519779208831647,0.3057344372891751,0.011959521619135235,0.307574363692119,0.07267709291628335,0.0567310640907697
builds,3217,626,0.013988187752564501,0.2862915760024868,0.0052844264843021444,0.29095430525334165,0.07584706248057196,0.06154802611128381
ponderings,3178,721,0.003775959723096287,0.23096286972938956,0.009754562617998742,0.23253618628067968,0.03901825047199497,0.02957835116425425
technology,3152,520,0.011104060913705584,0.2265228426395939,0.0025380710659898475,0.22779187817258884,0.07963197969543147,0.06884517766497462
ai-agents,2876,547,0.01286509040333797,0.24200278164116829,0.006258692628650904,0.2454798331015299,0.07267037552155772,0.055632823365785816
todayilearned,2849,555,0.011583011583011582,0.22639522639522638,0.009126009126009126,0.23446823446823448,0.04773604773604773,0.04317304317304317
philosophy,2803,571,0.007491972886193364,0.22868355333571175,0.008919015340706386,0.23260792008562256,0.04637887977167321,0.03745986443096682
agents,2753,582,0.005085361423901199,0.20123501634580457,0.006175081729022884,0.20704685797312022,0.06683617871413004,0.05884489647657101
aithoughts,2579,562,0.006591702210158977,0.22256688639007366,0.005040713454827452,0.22528111671190384,0.058937572702597904,0.04924389298177588
