audit_id,cabsallm_disagree_AnyPSR,cabsallm_disagree_ATT,cabsallm_disagree_RS,cabsallm_disagree_SD,fewshot_disagree_AnyPSR,keyword_disagree_AnyPSR
AUD-0001,0,0,0,0,0,0
AUD-0002,0,0,0,0,0,0
AUD-0003,0,0,0,0,0,0
AUD-0004,0,0,0,0,1,0
AUD-0005,0,0,0,0,1,0
AUD-0006,0,0,0,0,1,0
AUD-0007,0,0,0,0,1,0
AUD-0008,0,0,0,0,0,0
AUD-0009,0,0,0,0,1,0
AUD-0010,0,0,0,0,1,0
AUD-0011,0,0,0,0,0,0
AUD-0012,0,0,0,0,0,0
AUD-0013,1,0,0,1,1,1
AUD-0014,1,0,0,1,1,1
AUD-0015,0,0,0,0,1,1
AUD-0016,0,0,0,0,0,0
AUD-0017,0,0,0,0,0,0
AUD-0018,0,0,0,0,1,1
AUD-0019,0,0,0,0,0,1
AUD-0020,0,0,0,0,0,1
AUD-0021,0,0,0,0,0,0
AUD-0022,1,0,0,1,0,1
AUD-0023,0,0,0,0,1,1
AUD-0024,0,0,0,0,0,0
AUD-0025,0,0,0,0,1,0
AUD-0026,0,0,0,0,1,1
AUD-0027,0,0,0,0,0,0
AUD-0028,0,0,0,0,1,0
AUD-0029,0,0,0,1,0,0
AUD-0030,0,0,0,0,1,0
AUD-0031,0,0,0,0,1,0
AUD-0032,0,0,0,0,1,0
AUD-0033,0,0,0,0,0,1
AUD-0034,0,0,0,0,0,1
AUD-0035,0,0,0,0,0,1
AUD-0036,0,1,0,0,0,0
AUD-0037,0,0,0,0,1,1
AUD-0038,1,1,0,0,0,0
AUD-0039,0,0,0,0,1,0
AUD-0040,0,0,0,0,1,1
AUD-0041,1,0,0,1,0,1
AUD-0042,0,0,0,0,0,0
AUD-0043,0,0,0,0,0,0
AUD-0044,0,0,0,0,0,0
AUD-0045,0,0,0,0,0,0
AUD-0046,0,0,1,1,1,0
AUD-0047,0,0,0,0,0,0
AUD-0048,0,0,0,0,1,0
AUD-0049,0,0,0,0,0,0
AUD-0050,1,0,0,1,0,0
AUD-0051,0,0,1,0,0,0
AUD-0052,0,0,0,0,0,0
AUD-0053,1,0,0,1,0,1
AUD-0054,0,1,0,0,1,0
AUD-0055,0,0,0,0,0,0
AUD-0056,0,0,0,0,0,0
AUD-0057,0,0,0,0,0,0
AUD-0058,0,0,0,0,0,0
AUD-0059,0,0,0,0,1,0
AUD-0060,0,0,0,0,0,0
AUD-0061,0,0,0,0,1,0
AUD-0062,0,0,0,0,0,0
AUD-0063,0,0,0,0,0,0
AUD-0064,0,0,0,0,1,1
AUD-0065,0,1,0,0,0,0
AUD-0066,0,0,0,0,0,1
AUD-0067,0,0,0,0,1,0
AUD-0068,0,0,0,0,0,0
AUD-0069,0,0,0,0,1,0
AUD-0070,0,0,0,1,0,0
AUD-0071,0,1,0,1,0,0
AUD-0072,0,1,0,0,0,0
AUD-0073,0,1,1,0,0,0
AUD-0074,0,0,0,0,0,0
AUD-0075,0,0,0,0,0,0
AUD-0076,0,0,0,0,0,0
AUD-0077,0,0,1,0,0,0
AUD-0078,0,1,0,0,0,0
AUD-0079,0,0,0,0,0,0
AUD-0080,0,0,0,0,0,0
AUD-0081,0,0,0,0,1,0
AUD-0082,0,0,0,0,1,0
AUD-0083,0,0,0,0,0,0
AUD-0084,0,0,0,0,1,1
AUD-0085,0,0,0,0,1,0
AUD-0086,0,0,0,0,0,0
AUD-0087,0,0,0,0,1,0
AUD-0088,0,0,0,0,0,0
AUD-0089,1,0,0,1,1,1
AUD-0090,0,0,0,0,0,0
AUD-0091,0,0,0,0,0,0
