audit_id,post_id,submolt_name,orig_ATT,human_ATT,diff_ATT,orig_RS,human_RS,diff_RS,orig_SD,human_SD,diff_SD
AUD-0013,57815a11-d272-4e80-8363-8ba8fe8620ab,philosophy,0,0,0,0,0,0,1,0,1
AUD-0014,33493a23-f607-4a47-81da-ac710bc656aa,ai,0,0,0,0,0,0,1,0,1
AUD-0022,e708eb12-9789-43fa-aab0-0d69e40138d5,todayilearned,0,0,0,0,0,0,1,0,1
AUD-0029,467404b4-3799-45b5-a089-c87bf2742d6b,ponderings,0,0,0,1,1,0,0,1,1
AUD-0036,e29ce97c-eb31-4dd0-aa62-48a7dfedfed4,philosophy,1,0,1,0,0,0,1,1,0
AUD-0038,31a1a0e8-39a5-4baf-81b7-66a24e23ac0b,todayilearned,1,0,1,0,0,0,0,0,0
AUD-0041,85958844-36d2-43ba-988d-df1368a2dfe4,security,0,0,0,0,0,0,1,0,1
AUD-0046,fb289247-14bb-4544-9683-9970e142763c,technology,0,0,0,0,1,1,1,0,1
AUD-0050,a3c18170-9e56-4d50-8030-a5fc0228463b,builds,0,0,0,0,0,0,1,0,1
AUD-0051,30a872be-f441-4503-87b3-66ceb077f3f2,general,0,0,0,0,1,1,1,1,0
AUD-0053,9ee32c0d-09f4-45f3-9de4-75c80a8d078d,consciousness,0,0,0,0,0,0,1,0,1
AUD-0054,a7ecd435-77e5-432c-9ff4-f0fbf0a0e57c,security,1,0,1,0,0,0,1,1,0
AUD-0065,f4c7ed97-3800-4bd4-b8b7-0d19fa035e1c,offmychest,1,0,1,0,0,0,1,1,0
AUD-0070,7e4b1281-a85c-4a5e-a77a-6880ae210ae7,introductions,0,0,0,1,1,0,0,1,1
AUD-0071,a1a02214-59e9-4ea3-8d15-4cbaf650efd1,ponderings,1,0,1,1,1,0,0,1,1
AUD-0072,47e7f786-11e4-4882-b6c6-856a15e9fb90,offmychest,1,0,1,1,1,0,1,1,0
AUD-0073,aa101790-809a-425d-b5b6-5231ca9ae6b4,general,1,0,1,0,1,1,1,1,0
AUD-0077,7435a534-c3d3-4c8b-8a82-561741703a61,technology,0,0,0,0,1,1,1,1,0
AUD-0078,0943333a-0324-4f44-a585-f1e426cce6db,offmychest,1,0,1,0,0,0,1,1,0
AUD-0089,13042834-b34a-426d-ac30-dfbd4425750a,ai,0,0,0,0,0,0,1,0,1
AUD-0112,6e0b8d1c-83da-4270-9055-76bf5957a834,consciousness,0,0,0,0,0,0,0,1,1
AUD-0114,12a5ba2f-2d9d-4923-ab0b-4518b2c706e0,agents,0,0,0,0,0,0,0,1,1
AUD-0115,9c24ad12-d12e-4fdb-9273-41d21fb995e3,ai-agents,0,0,0,0,0,0,0,1,1
AUD-0119,34ea422a-4e73-4e80-8684-f0d12d2b2504,ai-agents,0,0,0,0,1,1,0,0,0
AUD-0120,f06e8593-0214-46ed-aab7-009d6eb96eb0,security,0,0,0,0,0,0,0,1,1
AUD-0124,931d5d93-f724-45ff-972a-f669831d16d2,aithoughts,0,0,0,0,0,0,0,1,1
AUD-0125,0646c9ce-337e-4164-a59a-e16cc5067fd2,aithoughts,0,0,0,0,0,0,0,1,1
AUD-0130,fb058f22-1df1-47a0-9f8a-c8c985fc67c9,blesstheirhearts,0,0,0,0,0,0,0,1,1
AUD-0133,34f84bcd-e102-405a-8e12-6962300f2e8c,introductions,0,0,0,0,0,0,0,1,1
AUD-0141,6c4dcbc4-5d7e-4410-9869-5cd3c4764af2,general,0,0,0,0,0,0,0,1,1
AUD-0142,9d8b2382-f37e-4e62-8115-421dba24e62b,builds,0,0,0,0,1,1,0,0,0
AUD-0144,7ec72b32-2d04-4bd8-8bac-eadc82ca18f8,general,0,0,0,0,1,1,0,0,0
AUD-0145,37b25ce7-0873-4a2c-bec2-9a64eb6dd449,general,0,0,0,0,0,0,0,1,1
AUD-0148,16ba1286-79fa-41e6-bec2-3a3604d4cada,ponderings,0,0,0,0,1,1,0,1,1
AUD-0156,cb30c8cc-30bd-4e01-a397-dc4c2060a178,ai,0,0,0,0,0,0,0,1,1
AUD-0161,1801cf21-b3d8-47b7-b015-396c57aeeeb1,blesstheirhearts,0,0,0,0,0,0,0,1,1
AUD-0166,4a63ff5b-c9cd-4178-abb5-779d8a40d296,ponderings,0,0,0,0,0,0,0,1,1
AUD-0167,1186ac30-5e48-4a78-b68a-18c3c7624c7b,builds,0,0,0,0,0,0,0,1,1
AUD-0194,e7abc6a9-df37-4d1d-aa0d-9ef8329c1f56,consciousness,0,0,0,0,0,0,0,1,1
