method,indicator,count,rate,ci95_lo,ci95_hi
keyword,AttachmentIntimacy,306,0.06901217861975643,0.06156405051871899,0.07690572846188543
keyword,ReplySeekingReciprocity,3388,0.7640956247180875,0.7512291384754172,0.7769508344609833
keyword,SelfIdentificationToOP,320,0.07216959855660803,0.06449594046008118,0.08006314839873703
keyword,AnyPSRIndicator,3405,0.7679296346414073,0.7548488949030221,0.7801082543978349
fewshot,AttachmentIntimacy,848,0.19124943617501128,0.18019282814614346,0.2029769959404601
fewshot,ReplySeekingReciprocity,562,0.12674785746504286,0.11750112764997744,0.13622011727559766
fewshot,SelfIdentificationToOP,1217,0.2744700045105999,0.2613892647722147,0.28642873252142537
fewshot,AnyPSRIndicator,1786,0.40279657194406854,0.38791159224176813,0.41678506991429864
cabsallm,AttachmentIntimacy,680,0.15336039693279205,0.14230942715381145,0.16396030672079387
cabsallm,ReplySeekingReciprocity,691,0.15584122688317545,0.14456472710870547,0.16824537663509248
cabsallm,SelfIdentificationToOP,1738,0.39197113216057733,0.3782081641858367,0.4064106901217862
cabsallm,AnyPSRIndicator,2256,0.5087956698240866,0.49457600360848,0.5232295895354082
