method,slice,n_posts,odds_ratio_op_participates,or_ci95_lo,or_ci95_hi,p_value,chi2
keyword,all_posts,4434,1.7494747250030898,1.4612911845284244,2.094491396259499,1.0457147658637165e-09,37.23771876266112
keyword,min8_comments,2386,0.9866451234682643,0.76329895881623,1.275343806538686,0.9704047131565041,0.0013764620092044353
keyword,nonzero_comments,4219,1.3095483321660555,1.0893072714133416,1.5743187246458454,0.004632575296958041,8.017567403873793
keyword,exclude_top1pct_long_posts,4390,1.7383713227860016,1.451059156401149,2.0825717838958537,1.870198206387099e-09,36.104444341645625
fewshot,all_posts,4434,2.1833513479967523,1.8988372879675504,2.510495838167204,2.197059468195962e-28,122.09806058619846
fewshot,min8_comments,2386,1.7527060055865922,1.4791253175859647,2.076888486388016,1.0138406670969757e-10,41.79458008670228
fewshot,nonzero_comments,4219,1.9718295266759567,1.7136607096476653,2.2688923544676105,1.6474372924665118e-21,90.72920319392985
fewshot,exclude_top1pct_long_posts,4390,2.1923677592976576,1.9051062907593757,2.5229439508553457,2.3392260751795395e-28,121.97366332328583
cabsallm,all_posts,4434,2.1775638886631663,1.8873632897393224,2.5123856731709413,5.5611737027088334e-27,115.68856294458374
cabsallm,min8_comments,2386,1.5656316833933275,1.3160867849324323,1.8624931091993822,4.85457019061024e-07,25.320754770294165
cabsallm,nonzero_comments,4219,1.9282412182248376,1.669595010917744,2.226955741570784,2.8736436640850824e-19,80.52283838296978
cabsallm,exclude_top1pct_long_posts,4390,2.221925377864762,1.9234521090738683,2.566714482523082,6.741874570115768e-28,119.87371784463681
